Company,Region,Website,Domain,Service Required,Requirement (Software Only),Contact Name,Email,Company Type,Estimated Pitch Pricing
World Wildlife Fund,Global,https://www.worldwildlife.org/,Non-profit / NGO,App & Web Development,Development of data aggregation web portals and API services for major conservation awareness campaigns.,Global Projects,partnerships@wwf.org,Global NGO,$15k - $40k
Oscar Health,US,https://www.hioscar.com/,Healthcare Insurance,Application Development,Seamless consumer mobile applications and cloud software solutions for healthcare claims processing.,Strategic Partnerships,hello@hioscar.com,Enterprise,$50k - $100k
Practo,India,https://www.practo.com/,Healthcare,Process Automation & AI,Automated clinic scheduling SaaS workflows and predictive software patient symptom triage systems.,Vendor Management,support@practo.com,Enterprise,$30k - $70k
Hinge Health,US,https://www.hingehealth.com/,Healthcare Tech,App Development,Custom iOS/Android software development for physical therapy tracking web portals.,Technology Department,info@hingehealth.com,Enterprise Startup,$50k - $100k
Shopify,Canada (Global),https://www.shopify.com/,E-commerce,Data Solutions & App Dev,Enhancing merchant web dashboards with automated reporting tools and robust API solutions.,App Ecosystem Team,partners@shopify.com,Enterprise,$75k - $150k
Faire,US / EU,https://www.faire.com/,Retail Wholesale,Artificial Intelligence,Implementing AI recommendation software algorithms into global SaaS environments.,Retail Innovation,hello@faire.com,Growth Startup,$40k - $80k
Chai Discovery,US,https://www.chaidiscovery.com/,Healthcare / Biotech,Data Solutions & AI,Need AI-driven software data processing pipelines for rapid biological research modeling.,Venture Team,hello@chaidiscovery.com,Series A Startup,$25k - $60k
Blossom,US,https://www.blossom.co/,Healthcare / Psychiatry,Artificial Intelligence,Deploying purely software AI copilots for psychiatric patient triage and web automation.,Clinical Tech Team,info@blossom.co,Series A Startup,$20k - $50k
Altana,US (Global),https://www.altana.ai/,Logistics & Supply Chain,Data Solutions & AI,Building scalable software knowledge graphs requiring robust backend cloud infrastructure.,Alliance Network,partners@altana.ai,Growth Startup,$30k - $70k
Nuvocargo,US / Mexico,https://www.nuvocargo.com/,Logistics & Freight,Process Automation,Cross-border freight software workflow automation and digital document SaaS processing.,Tech Integrations,hello@nuvocargo.com,Growth Startup,$25k - $60k
Oboe Labs,US,https://oboelabs.com/,EdTech & Productivity,Artificial Intelligence,Building autonomous 'AI software agents' for task management requiring scalable databases.,Founders Office,info@oboelabs.com,Series A Startup,$25k - $60k
BoldVoice,US,https://www.boldvoice.com/,EdTech,Application Development & AI,Natural language software integration and full-stack mobile UX development for language learners.,Product Team,hello@boldvoice.com,Series A Startup,$20k - $50k
Ataraxis,US,https://www.ataraxis.ai/,Healthcare / Oncology,Artificial Intelligence,AI-precision medicine software data processing and secure cloud deployment of oncology models.,Medical Partnerships,partnerships@ataraxis.ai,Series A Startup,$25k - $60k
Flott,US,https://www.flott.io/,Logistics & Transport,Process Automation,Unifying transport operations through automated SaaS software control centers.,Ops Tech,founders@flott.io,Seed Startup,$10k - $25k
Logibee,India,https://logibee.ai/,Logistics,Application Development & AI,Dynamic delivery routing software algorithms and comprehensive web portals for ground fleets.,Tech Lead,contact@logibee.ai,Seed Startup,$10k - $25k
Notion,US (Global),https://www.notion.so/,SaaS / Productivity,Full-stack Web Development,Building customized collaborative dashboards and integration API software layers.,Partner Network,partnerships@notion.so,Enterprise,$50k - $120k
Vanta,US (Global),https://www.vanta.com/,SaaS / Security,Process Automation,Automating digital security reporting modules and software workflows within SaaS environments.,Tech Integrations,info@vanta.com,Enterprise Startup,$40k - $90k
Deel,US (Global),https://www.deel.com/,HR Tech,AI & App Dev,Enhancing mobile SaaS payroll applications and building AI-driven software compliance checks.,Global Expansion,hello@deel.com,Enterprise,$50k - $120k
Stripe,US (Global),https://stripe.com/,FinTech,Data Solutions,Developing sophisticated data visualization software dashboards for massive merchant transaction logs.,Platform Apps,partners@stripe.com,Enterprise,$75k - $150k+
Plaid,US,https://plaid.com/,FinTech,Data Solutions,Building robust open banking software portals and web API abstraction layers.,Bank Ops,hello@plaid.com,Enterprise,$75k - $120k
Razorpay,India,https://razorpay.com/,FinTech,App Development,Scaling localized mobile web portals and automated SaaS merchant onboarding workflows.,Strategic Alliances,partners@razorpay.com,Enterprise,$40k - $80k
Canva,Australia (Global),https://www.canva.com/,SaaS / Design,Artificial Intelligence,Integrating external deep learning image processing software APIs into cloud environments.,Developer Platform,developers@canva.com,Enterprise,$50k - $150k
Miro,US / EU,https://miro.com/,SaaS / Productivity,App Development,Deploying responsive web-collaboration software features and optimizing React-based architectures.,Integrations,platform@miro.com,Enterprise,$50k - $120k
Zapier,US (Global),https://zapier.com/,SaaS / Automation,Data Solutions,Constructing secure high-volume data software pipelines between third-party apps.,App Directory,partners@zapier.com,Enterprise,$40k - $90k
Calendly,US (Global),https://calendly.com/,SaaS / Productivity,Process Automation,Developing intelligent software calendar syncing logic and internal admin management portals.,Partnerships,integrations@calendly.com,Enterprise,$40k - $80k
